,id,title,ingredients,instructions
210,000e6304d7,Sunny's Eggs in Burgatory,Ingredients: 1. 1 pound chuck 2. 1 tablespoon red onion pulp 3. 3 teaspoons mild yellow curry powder 4. 1 4 teaspoon onion powder 5. kosher salt and black pepper 6. 6 8 sprigs thyme 7. 1 tablespoon olive oil 8. 1 cup canned tomatoes 9. 1 2 cup ketchup 10. 2 tablespoons honey 11. 1 teaspoon hot sauce 12. 4 eggs 13. 1 4 cup loosely packed ,"Instructions: 1. In a large bowl, add the beef and break it up a little. 2. From high above the bowl for even coverage, sprinkle over the onion pulp, 1 teaspoon of the curry powder, the onion powder, 1 teaspoon salt, a few grinds of pepper and the thyme. 3. Gently mix with your non-dominant hand until just combined. 4. Form into 4 equal balls and let rest in the bowl. 5. Drizzle with the olive oil, cover with plastic wrap and rest at room temperature 1 hour. 6. In a liquid measuring cup, whisk the tomatoes, ketchup, honey, hot sauce and the remaining 2 teaspoons curry powder until combined. 7. Preheat 4 personal-sized cast-iron pans over medium-high heat. 8. Form each ball of beef into a patty and press each patty to fill the entire bottom of each pan; the patties will shrink as they cook. 9. Cook until each patty easily lifts from the pan and a peek beneath reveals a golden-brown sear, about 5 minutes. 10. Flip the patties, then immediately pour the tomato mixture evenly over each and jiggle the pans to settle the sauce. 11. Using the back of a spoon, gently press a recess in the center top of each patty. 12. Gently crack an egg into the center of each patty, resting the yolk in the recess you created. 13. Cover all the pans with a large baking sheet. 14. Reduce the heat to a low simmer and leave covered until a quick peek beneath reveals the whites are cooked and the yolks are still runny, about 3 minutes. 15. Garnish each with a tiny sprinkle of salt over the yolks, a grind of pepper and a sprinkle of parsley. "
211,000e65ebd0,Tomato and Spinach Casserole,Ingredients: 1. 10 ounces spinach or 10 ounces frozen spinach 2. 2 teaspoons lemon juice 3. 2 tablespoons sour cream 4. 4 ounces button mushrooms 5. 3 tablespoons butter 6. 3 4 tomatoes 7. salt and pepper 8. 12 1 cup parmesan cheese ,"Instructions: 1. Cook spinach; drain well. 2. Sprinkle with lemon juice, and sourcream, mix with mushrooms that have been browned in 1 tablespoons butter and place in a casserole dish. 3. On this place place sliced tomatoes sprinkled with salt and pepper. 4. Sprinkle cheese on top and dot with remaining butter. 5. Bake in 350* oven until browned; about 10 minutes. "
212,000e97a7b1,Dagwood's Pork Sandwich,Ingredients: 1. 2 italian rolls 2. 3 tablespoons butter or 3 tablespoons margarine 3. 1 lb pork 4. 12 cup onion 5. 1 garlic clove 6. 12 cup celery 7. 1 cup sour cream 8. 1 teaspoon dried dill weed 9. 12 teaspoon salt 10. 3 drops hot pepper sauce 11. 2 firm tomatoes 12. 1 green bell pepper 13. 1 cup mozzarella cheese ,"Instructions: 1. Use 2 tablespoons of the butter or margarine to spread on the rolls; place each halved roll in 12-inch square of foil, folding edges up around the roll. 2. Heat remaining 1 tablespoon butter or margarine in skillet. 3. Saute pork, onion, garlic, and celery until golden. 4. Drain off fat. 5. Add sour cream, dill weed, salt, and hot pepper sauce; taste and add additional seasoning as desired. 6. Spread mixture on roll halves. 7. Place slices of tomato and green pepper on top of meat and sprinkle with cheese. 8. Do not close foil. 9. Bake in preheated 375 F oven for 15 to 20 minutes, until heated through and cheese has melted. "
213,000eb2a4d9,Scallop Ceviche,Ingredients: 1. 2 lbs bay scallops 2. 34 cup lemon juice 3. 34 cup lime juice 4. 12 cup red onion 5. 12 cup yellow bell pepper 6. 1 cup pimento stuffed olive 7. 2 tablespoons olive oil 8. 1 tablespoon cilantro 9. 3 slices lime 10. 1 teaspoon salt 11. 3 dashes hot red pepper sauce ,"Instructions: 1. Combine all ingredients in 8-inch square baking dish. 2. Cover with plastic wrap and refrigerate at least 8 hours. 3. Just before serving, remove zest and transfer to serving dish. 4. Serve chilled. "
214,000eb6f05a,Marco Canora's Braised Red Cabbage,Ingredients: 1. 2 tablespoons butter 2. 1 red onion 3. 1 red cabbage 4. 12 cup dark brown sugar 5. 2 tablespoons caraway seeds 6. 2 tablespoons yellow mustard seeds 7. 12 cup cider vinegar 8. 34 cup dry red wine 9. 1 tart apple 10. salt & black pepper ,"Instructions: 1. 1. 2. Melt the butter in a large saute pan over medium heat. 3. Add the onions and saute until softened, about 5 minutes. 4. Add the cabbage and toss until it begins to wilt, 2 to 3 minutes. 5. 2. 6. Add the brown sugar, caraway seeds, mustard seeds, vinegar, wine and apple. 7. Stir to combine, and season with salt and pepper. 8. Cut a circle of parchment paper the size of the bottom of the pan, slice a small vent in the middle, and place directly over the cabbage. 9. Simmer until the cabbage is soft, about 45 minutes. 10. Adjust salt and pepper, and serve. "
215,000ec71e9d,Shrimp Mold,Ingredients: 1. 2 packages knox gelatin 2. 3 tablespoons hot water 3. 1 can cream mushroom soup 4. 1 package cream cheese 5. 1 cup celery 6. 12 cup green onion 7. 1 cup mayonnaise 8. 2 cans shrimp ,"Instructions: 1. Dissolve gelatin in hot water. 2. Add cream of mushroom soup, cream cheese and heat on low until blended. 3. Add celery, green onion, mayonnaise, shrimp and stir well. 4. Pour into mold and put in fridge until set, about 3 hours. 5. Unmold and serve with crackers. "
216,000ed056ec,"Avocado ""Pesto"" Recipe",Ingredients: 1. 1 avocado 2. 1 c. basil leaves 3. 1 2 c. canned chicken broth 4. 4 garlic cloves 5. 2 tbsp. lime juice 6. 1 2 c. vegetable oil ,"Instructions: 1. Place avocado, basil, 1/2 c. broth, garlic and lime juice in blender. 2. Blend till minced, scraping down sides as needed. 3. With machine running, gradually add in oil and blend till smooth. 4. If too thick, gradually add in more broth by Tbsp.. 5. Season with salt and pepper. 6. Makes about 2 c.. "
217,000edd2c6e,Chicken and Mushroom Pie,Ingredients: 1. 1 tablespoon olive oil 2. 1 onion 3. 1 garlic clove 4. 350 g chicken breast fillets 5. 3 pieces bacon 6. 2 cups mushrooms 7. 12 cup white wine 8. 1 cup chicken stock 9. 2 tablespoons parsley 10. 1 tablespoon cornflour 11. 2 tablespoons water 12. black pepper 13. 1 teaspoon butter 14. 2 sheets puff pastry 15. 1 egg 16. 2 tablespoons milk ,"Instructions: 1. heat the oil in a frying pan over a semi-low heat. 2. add the onion, garlic and bacon and fry gently, stirring often, until the onion is transparent, place in a bowl. 3. Increase the heat to medium and add the chicken, stirring frequently until browned, removed to a bowl. 4. Return the onion mix to the pan adding the sliced mushrooms, cook for a couple of minutes. 5. Add the wine, stir and cook for a minute. 6. Add the stock and simmer until reduced by half, stirring occassionally. 7. Return chicken to pan, bring to boil and add pepper. 8. Mix the cornflour with water and add it to the pan stirring until the sauce boils and thickens, add parsley and set aside to cool slightly. 9. Heat oven to 220C and take two sheets of puff pastry out of the freezer, remove the blue plastic and put them on the bench to thaw. 10. Spray the pie plate with cooking spray or brush it with melted butter, lay one sheet of pastry over the plate, tucking it down on the bottom and pushing it in on the sides. 11. Add the chicken filling, remembering to not add mushrooms to Chris's piece, Put the other sheet of pastry over the top, press around the edges , mark Chris's piece with a C and then cut the excess pastry off by running a sharp knife around the rim. 12. Use the excess pastry to decorate the pie. 13. Press the edges down around the rim with a fork. 14. Pierce the pie here and there with a fork. 15. Beat the egg with the milk and then brush over the pie. 16. Place in the oven for 10 minutes then reduce heat to 190C and cook for 30-40 minutes. "
218,000ee3c428,Ham and Egg Salad,Ingredients: 1. 4 hard eggs 2. 12 cup mayonnaise 3. 12 cup ham 4. 2 tablespoons green onions 5. 2 teaspoons dijon mustard 6. salt and pepper ,Instructions: 1. Combine all ingredients. 2. Cover and chill. 
219,000eee094d,Pickled Watermelon Rinds,Ingredients: 1. 1 4 pound watermelon 2. 1 1 4 cups apple cider vinegar 3. 1 cup sugar 4. 1 tablespoon allspice berries 5. 1 tablespoon kosher salt 6. 4 black peppercorns 7. 2 sichuan peppercorns 8. 1 cinnamon stick 9. 1 1 inch piece ginger ,"Instructions: 1. Cut the watermelon flesh from the rind, leaving only a 1/4-inch layer of pink flesh on the rind. 2. Cut the green outer skin from the rind and discard; cut the rind into 1-by-2-inch pieces. 3. Combine the vinegar, sugar, allspice, salt, black and Sichuan peppercorns, cinnamon, ginger and 1/2 cup water in a medium saucepan. 4. Bring to a boil and cook, stirring regularly, until the sugar and salt dissolve, about 5 minutes. 5. Add the watermelon rinds and bring the mixture back to a boil, placing a heavy object such as a heat-proof plate on top to keep the rinds submerged. 6. Reduce the heat and simmer until the rinds are tender when pierced with a fork, about 8 minutes. 7. Remove from the heat and cool completely. 8. Transfer to airtight containers and cover. 9. Refrigerate at least overnight before serving. 10. The pickled watermelon rinds can be kept in the refrigerator for up to 2 weeks. "
220,000ef9c70e,Italian Burritos,Ingredients: 1. 1 14 lbs mild italian sausage or 1 14 lbs hot italian sausage 2. 1 package frozen spinach 3. 1 containerrefrigerated alfredo sauce 4. 14 cup basil 5. 8 8 9 inch flour tortillas 6. 1 jar spaghetti sauce 7. 1 cup parmesan cheese ,"Instructions: 1. Preheat oven to 375F. 2. Grease a 13x9 inch baking dish. 3. Remove sausage from casings, brown in a large skillet and pour off excess fat. 4. Add spinach, Alfredo sauce and basil and combine. 5. Divide mixture between 8 tortillas, roll up and place seam side down in baking dish. 6. Top with spaghetti sauce and sprinkle with cheese. 7. Bake 45-50 minutes or until hot. "
221,000f0026ea,Sourdough Starter,Ingredients: 1. 2 potatoes 2. 2 cups flour 3. 2 tablespoons sugar ,"Instructions: 1. Boil potatoes until they fall to pieces. 2. Let cool then remove skins. 3. Mash potatoes in the water to make a puree. 4. Pour into a large pot. 5. bean pot 6. Mix in flour and sugar, and let sit covered in a warm place for at least 3 days stirring once or twice each day. 7. Add water if too thick. 8. After the 3rd day it should be bubbling nicely and ready to use. 9. Surprise:. 10. and 2 moves. "
222,000f05e911,Simple Peanut Butter and Tomato Sandwich,Ingredients: 1. peanut butter 2. 2 slices wheat bread 3. 1 4 teaspoon white sugar 4. 1 tablespoon low fat creamy salad dressing 5. 1 tomato 6. salt and black pepper ,Instructions: 1. Spread peanut butter on one slice of bread; sprinkle with white sugar. 2. Spread creamy salad dressing on the other slice of bread; top with tomato slices. 3. Sprinkle tomatoes with salt and pepper. 4. Place the 2 sides together and enjoy! 
223,000f2b5cf0,Herbed Fish On The Grill For Two Recipe,Ingredients: 1. 1 fish 2. 1 4 c. melted butter 3. 1 tbsp. parsley 4. 1 2 tbsp. thyme 5. 1 2 tbsp. chives 6. 1 4 teaspoon sage 7. cooking spray ,"Instructions: 1. Use fresh parsley, thyme, chives, and sage, if possible. 2. Start charcoal fire in the grill. 3. Spray a grill rack or possibly fish holder which has a long handle with cooking spray. 4. Place fish on rack. 5. Add in herbs to melted butter. 6. Brush herb mix onto and in fish with a pastry brush. 7. Close rack securely. 8. Grill for 5-8 min a side depending on size of fish. "
224,000f31efed,Stuffed Papaya Boats,Ingredients: 1. 1 cup low fat cottage cheese 2. 13 cup pineapple 3. 3 tablespoons honey 4. 1 tablespoon lime juice 5. 2 ripe papayas 6. 1 dash cinnamon 7. dask allspice ,"Instructions: 1. In a small bowl, combine all ingredients except papayas. 2. Mix well. 3. Chill several hours. 4. At serving time, peel papayas and cut them in half lengthwise. 5. Scoop out and discard seeds. 6. Cut a very thin slice off the bottom of each half so they will remina stable on the plate. 7. Stir the cottage cheese mixture and mound it into the papaya shells. 8. Sprinkle lightly with additional cinnamon. "
225,000f46b29f,Easy coconut slice,Ingredients: 1. 1 cup self raising flour 2. 34 cup caster sugar 3. 1 cup desiccated coconut 4. 125 g butter 5. 2 eggs 6. 12 cup milk 7. icing sugar ,"Instructions: 1. Grease a 19cm x 29cm slice pan and line with baking paper. 2. Sift flour into a large bowl; stir in sugar and coconut. 3. Make a well in the centre. 4. Add combined butter, eggs and milk; mix well. 5. Pour into prepared pan. 6. Cook in moderate oven, 180 C for about 30 minutes, or until cooked when tested. 7. Stand slice in pan for 5 mins; cool on wire rack. 8. Serve slice warm or cold, cut into squares. 9. Dust with extra icing sugar. 10. Decorate with berries if you wish. "
226,000f5309df,New York White Pizza,Ingredients: 1. 1 pizza dough 2. 2 tablespoons virgin olive oil 3. 34 cup milk ricotta cheese 4. 1 tablespoon garlic 5. 1 34 cups milk mozzarella cheese 6. 12 teaspoon dried oregano ,"Instructions: 1. Position an oven rack on the second-lowest level in the oven and place a baking stone on the rack; position another rack in the upper third of the oven; preheat oven to 500. 2. Coat a 12-inch pizza screen or perforated pizza pan with cooking spray. 3. Lay the dough on the prepared screen or pan and gently stretch dough into a 12-inch round. 4. Top the pizza: brush the dough with 1 tablespoon olive oil; spread the ricotta evenly over the dough, leaving a 1/4-inch border. 5. Sprinkle the garlic over the top; sprinkle the mozzarella over the top. 6. Crush the oregano between your fingers and sprinkle evenly over the cheese and crust. 7. Drizzle the remaining 1 tablespoon olive oil over the top. 8. Place the pizza in the oven on the upper rack; bake about 8 minutes, until the crust is crisp and golden brown. 9. Using a pizza peel, lift the pizza off the screen/pan and place the crust directly on the baking stone; remove the screen/pan from the oven. 10. Continue baking the pizza until the bottom of the crust is golden, about 3 minutes. 11. Using the peel, remove the pizza from the oven and transfer to a cutting board. 12. Slice pizza into wedges and serve immediately. "
227,000f54ed52,Bourbon Currant Cookies,Ingredients: 1. 1 cup unsalted butter 2. 1 cup sugar 3. 2 eggs 4. 3 cups sifted all purpose flour 5. 1 3 cup bourbon 6. 1 2 cup dried currants 7. 1 4 cup heavy cream ,"Instructions: 1. Preheat oven to 350F. 2. Put butter and sugar in the bowl of an electric mixer fitted with the paddle attachment; mix on medium speed until smooth. 3. Add 1 egg, the flour, bourbon, and currants; mix until well combined. 4. Roll out dough on a lightly floured work surface to 1/4 inch thick. 5. Cut into desired shapes . 6. Whisk together remaining egg and the cream in a small bowl, and brush cookies with egg wash. Space 1 inch apart on baking sheets lined with parchment paper. 7. Bake until pale golden brown,12 to 15 minutes. 8. Let cool on sheets on wire racks. 9. Cookies can be stored in airtight containers at room temperature up to 2 days. "
228,000fa699af,Chicken Marsala,Ingredients: 1. 4 chicken breasts 2. 14 cup flour 3. 12 teaspoon salt 4. 12 teaspoon oregano 5. 4 tablespoons olive oil 6. 1 cup mushrooms 7. 12 cup marsala wine ,"Instructions: 1. Combine flour, salt, pepper and oregano and blend well. 2. Heat the oil and butter in skillet until bubbling lightly. 3. Dredge the chicken in the flour and shake off the excess. 4. Cook the chicken on medium heat for about 2 minutes on the first side, until lightly brown. 5. As you turn the breasts to the second side to cook, add the mushrooms around the chicken pieces. 6. Cook about 2 more minutes, until lightly browned on the second side. 7. Stir the mushrooms. 8. When the second side is lightly browned, add the wine around the pieces. 9. Cover the pan and simmer for about 10 minutes. "
229,000faf7bc5,Egyptian Edamame Stew,Ingredients: 1. 3 cups frozen shelled edamame 2. 1 tablespoon olive oil 3. 1 onion 4. 1 zucchini 5. 2 tablespoons garlic 6. 2 teaspoons cumin 7. 1 teaspoon coriander 8. 18 teaspoon cayenne 9. 28 ounces tomatoes 10. 14 cup cilantro 11. 3 tablespoons lemon juice ,"Instructions: 1. Bring a large saucepan of water to boil. 2. Add edamame and cook until tender, 4 to 5 minutes. 3. Drain. 4. Heat oil in a large saucepan over medium heat. 5. Add onion and cook, covered, stirring occasionally, about 3 minutes. 6. Add zucchini and cook, covered, about 3 minutes more. 7. Add garlic, cumin, coriander and cayenne. 8. Stir in tomatoes and bring to a boil. 9. Reduce heat, and simmer until slightly reduced, about 5 minutes. 10. Stir in the edamame and heat through, about 2 minutes. 11. Remove from heat and stir in cilantro and lemon juice. "
230,000fc78329,Pear Liquor,Ingredients: 1. 1 lb pears 2. 3 cup vodka 3. 1 cup simple syrup 4. 3 tsp cinnamon 5. 2 clove 6. 2 tsp coriander seed ,"Instructions: 1. slice pears and add to other ingredients, adding sugar last. 2. let steep for three weeks. 3. strain and serve. "
231,000fc94232,Pizza Rolls,Ingredients: 1. 1 loaf frozen bread dough 2. 1 12 cups tomato paste or 1 12 cups pizza sauce 3. 4 ounces pepperoni 4. 1 teaspoon oregano 5. 14 teaspoon garlic powder 6. 14 cup onion 7. 1 cup cheese ,"Instructions: 1. Thaw bread for 2 hours. 2. Roll out to 12x9 rectangle. 3. Spread with sauce. 4. Top with remaining ingredients. 5. Roll up jelly-roll fashion from long side. 6. Seal the edges well. 7. Place on greased baking sheet, seam side down. 8. Brush with water, sprinkle with a little salt. 9. Let rise until almost double in size-about 1 hour. 10. Make 3 slashes across top. 11. Bake at 375 degrees for 30 minutes. 12. Slice to serve. "
232,000fe7fcf5,Chicken Diable,Ingredients: 1. 4 tablespoons butter 2. 12 cup honey 3. 14 cup prepared mustard 4. 1 teaspoon salt 5. 1 teaspoon curry powder 6. 3 lbs chicken ,"Instructions: 1. Melt butter , honey, mustard, salt, and curry powder in a large shallow pan. 2. Wash, dry, then skin chicken pieces. 3. Roll chicken pieces in butter mixture to coat both sides, then arrange, meaty side up in a single layer in same pan. 4. Bake in 375 degree oven for 1 hour or until chicken is tender and richly glazed. "
233,000ff73a93,Mustard-and-Herb Chicken,Ingredients: 1. 2 1 inch slices country bread 2. 2 garlic cloves 3. 1 teaspoon rosemary 4. 1 4 cup parmesan cheese 5. salt and pepper 6. 1 4 cup virgin olive oil 7. 4 boneless skin on chicken thighs 8. 2 tablespoons dijon mustard 9. 2 tablespoons unsalted butter 10. 1 onion 11. pinch sugar 12. 1 tablespoon lemon juice ,"Instructions: 1. Preheat the oven to 400. 2. In a food processor, pulse the bread until finely shredded. 3. Add the garlic, rosemary and Parmesan, season with salt and pepper and pulse until combined. 4. Add 2 tablespoons of the olive oil and pulse just until the crumbs are evenly moistened. 5. Transfer to a small bowl. 6. In a medium, ovenproof skillet, heat the remaining 2 tablespoons of olive oil until shimmering. 7. Season the chicken thighs with salt and pepper and add them to the skillet, skin side down. 8. Cook over moderately high heat until golden, about 6 minutes. 9. Turn the chicken and spread the skin with the mustard. 10. Carefully spoon the bread crumbs onto the chicken, patting them on with the back of the spoon. 11. Transfer the skillet to the oven and roast the chicken for about 15 minutes, until the crumbs are golden and crisp and the chicken is cooked through. 12. Meanwhile, in a medium saucepan, melt the butter. 13. Add the onion and sugar, season with salt and pepper and cook over moderate heat until softened, 6 to 7 minutes. 14. Add the lemon juice and cook until the liquid has evaporated, 2 minutes longer. 15. Spoon the onion mixture onto 2 plates, top with the chicken and serve. "
234,0010013190,Asian-Style Turkey Burgers,Ingredients: 1. 1 lb turkey 2. 13 cup onion 3. 3 tablespoons italian parsley 4. 2 tablespoons worcestershire sauce 5. 2 tablespoons green peppers 6. 1 tablespoon soy sauce 7. 1 tablespoon water 8. 2 teaspoons ginger 9. 12 teaspoon salt 10. 12 teaspoon pepper 11. 3 garlic cloves 12. 2 tablespoons oil 13. 4 sandwich buns ,"Instructions: 1. In a large bowl, mix well the first 11 ingredients. 2. Divide the turkey mixture to 4 equal portions, shaping each into a 3/4 inch-thick patty. 3. Coat a large skillet with oil, warm over medium high heat, until hot. 4. Add patties, and cook for 8 minutes on each side, or until done. 5. Serve on buns, with your favorite condiments and trimmings. "
